ID		manufacturer		product type		digital storage		flash memory installed		diagonal size		battery		supported digital audio standards		estimated battery life
33270807		Sony		Digital player / radio,		None,		4 GB Integrated,		2 in,		Lithium ion Rechargeable Player batteryIntegrated,		MP3,,WMA,,AAC,,PCM,		45 hour(s),		
33270802		Sony		Digital player / radio,		None,		8 GB Integrated,		2 in,		Lithium ion Rechargeable Player batteryIntegrated,		MP3,,WMA,,AAC,,PCM,		45 hour(s),		
33247504		Apple		Digital player,		Built-in 120 GB Hard disk drive,				2.5 in,		Lithium ion Rechargeable Player batteryIntegrated,		Apple Lossless,,WAV,,MP3,,AIFF,,Audible,,AAC,		36 hour(s),		
33247198		Apple		Digital player,		Built-in 120 GB Hard disk drive,				2.5 in,		Lithium ion Rechargeable Player batteryIntegrated,		Apple Lossless,,WAV,,MP3,,AIFF,,Audible,,AAC,		36 hour(s),		
33310082		iRiver		Digital player / radio,		None,		8 GB Integrated,		3.3 in,		Lithium polymer Rechargeable Player batteryInternal,		MP3,,WMA,,APE (Monkey's Audio),,ASF,,FLAC,,Ogg Vorbis,		25 hour(s),		
32815502		iRiver																
33270784		Sony		Digital player / radio,				2 GB Integrated,				Lithium ion Rechargeable Player batteryIntegrated,		MP3,,WMA,		16 hour(s),		
33226902		Archos										Capacity,Rechargeable Battery,Required Qty,Battery Life Details,Battery Life Details,Battery Enclosure Type,Technology,						
33226904		Archos										Capacity,Rechargeable Battery,Required Qty,Battery Life Details,Battery Life Details,Battery Enclosure Type,Technology,						
33226903		Archos										Capacity,Rechargeable Battery,Required Qty,Battery Life Details,Battery Life Details,Battery Enclosure Type,Technology,						
33259222		Microsoft		Digital player / radio,		Built-in 120 GB Hard disk drive,				3.2 in,		Lithium ion Rechargeable Player batteryIntegrated,		WMAPro,,MP3,,WMA,,Audible,,AAC,		30 hour(s),		
33270777		Slacker, Inc.																
33270780		Slacker, Inc.																
32959153		Samsung		Digital player / radio,		None,		4 GB Integrated,		1.8 in,		Lithium polymer Rechargeable Player battery,		MP3,,WMA,		25 hour(s),		
32959150		Samsung		Digital player / radio,		None,		4 GB Integrated,		1.8 in,		Lithium polymer Rechargeable Player battery,		MP3,,WMA,		25 hour(s),		
